"AOU","alpha","common","group"
3800,"FEPO","FERRUGINOUS PYGMY-OWL","OwlNightj.csv"
3810,"ELOW","ELF OWL","OwlNightj.csv"
3824,"MOPA","MONK PARAKEET","DoveCucko.csv"
3826,"RCPA","RED-CROWNED PARROT","DoveCucko.csv"
3827,"HPRT","HISPANIOLAN PARROT","DoveCucko.csv"
3830,"SBAN","SMOOTH-BILLED ANI","DoveCucko.csv"
3840,"GBAN","GROOVE-BILLED ANI","DoveCucko.csv"
3850,"GRRO","GREATER ROADRUNNER","DoveCucko.csv"
3860,"MACU","MANGROVE CUCKOO","DoveCucko.csv"
3870,"YBCU","YELLOW-BILLED CUCKOO","DoveCucko.csv"
3880,"BBCU","BLACK-BILLED CUCKOO","DoveCucko.csv"
3890,"ELTR","ELEGANT TROGON","TrogWoodp.csv"
3900,"BEKI","BELTED KINGFISHER","TrogWoodp.csv"
3901,"RIKI","RINGED KINGFISHER","TrogWoodp.csv"
3910,"GKIN","GREEN KINGFISHER","TrogWoodp.csv"
3920,"IBWO","IVORY-BILLED WOODPECKER","TrogWoodp.csv"
3930,"HAWO","HAIRY WOODPECKER","TrogWoodp.csv"
3940,"DOWO","DOWNY WOODPECKER","TrogWoodp.csv"
3950,"RCWO","RED-COCKADED WOODPECKER","TrogWoodp.csv"
3960,"LBWO","LADDER-BACKED WOODPECKER","TrogWoodp.csv"
3970,"NUWO","NUTTALL'S WOODPECKER","TrogWoodp.csv"
3990,"WHWO","WHITE-HEADED WOODPECKER","TrogWoodp.csv"
4000,"BBWO","BLACK-BACKED WOODPECKER","TrogWoodp.csv"
4010,"ATTW","AMERICAN THREE-TOED WOODPECKER","TrogWoodp.csv"
4020,"YBSA","YELLOW-BELLIED SAPSUCKER","TrogWoodp.csv"
4021,"RNSA","RED-NAPED SAPSUCKER","TrogWoodp.csv"
4030,"RBSA","RED-BREASTED SAPSUCKER","TrogWoodp.csv"
4040,"WISA","WILLIAMSON'S SAPSUCKER","TrogWoodp.csv"
4050,"PIWO","PILEATED WOODPECKER","TrogWoodp.csv"
4060,"RHWO","RED-HEADED WOODPECKER","TrogWoodp.csv"
4070,"ACWO","ACORN WOODPECKER","TrogWoodp.csv"
4080,"LEWO","LEWIS'S WOODPECKER","TrogWoodp.csv"
4090,"RBWO","RED-BELLIED WOODPECKER","TrogWoodp.csv"
4100,"GFWO","GOLDEN-FRONTED WOODPECKER","TrogWoodp.csv"
4110,"GIWO","GILA WOODPECKER","TrogWoodp.csv"
4120,"YSFL","YELLOW-SHAFTED FLICKER","TrogWoodp.csv"
4123,"FLIN","FLICKER INTERGRADE","TrogWoodp.csv"
4130,"RSFL","RED-SHAFTED FLICKER","TrogWoodp.csv"
4140,"GIFL","GILDED FLICKER","TrogWoodp.csv"
4160,"CWWI","CHUCK-WILL'S-WIDOW","OwlNightj.csv"
4171,"PRNI","PUERTO RICAN NIGHTJAR","OwlNightj.csv"
4172,"MWPW","MEXICAN WHIP-POOR-WILL","OwlNightj.csv"
4180,"COPO","COMMON POOR-WILL","OwlNightj.csv"
4190,"COPA","COMMON PAURAQUE","OwlNightj.csv"
4200,"CONI","COMMON NIGHTHAWK","OwlNightj.csv"
4201,"ANNI","ANTILLEAN NIGHTHAWK","OwlNightj.csv"
4210,"LENI","LESSER NIGHTHAWK","OwlNightj.csv"
4220,"BLSW","BLACK SWIFT","SwiftHumm.csv"
4230,"CHSW","CHIMNEY SWIFT","SwiftHumm.csv"
4240,"VASW","VAUX'S SWIFT","SwiftHumm.csv"
4250,"WTSW","WHITE-THROATED SWIFT","SwiftHumm.csv"
4260,"MAHU","MAGNIFICENT HUMMINGBIRD","SwiftHumm.csv"
4270,"BLUH","BLUE-THROATED HUMMINGBIRD","SwiftHumm.csv"
4280,"RTHU","RUBY-THROATED HUMMINGBIRD","SwiftHumm.csv"
4290,"BCHU","BLACK-CHINNED HUMMINGBIRD","SwiftHumm.csv"
4300,"COHU","COSTA'S HUMMINGBIRD","SwiftHumm.csv"
4310,"ANHU","ANNA'S HUMMINGBIRD","SwiftHumm.csv"
4320,"BTLH","BROAD-TAILED HUMMINGBIRD","SwiftHumm.csv"
4330,"RUHU","RUFOUS HUMMINGBIRD","SwiftHumm.csv"
4340,"ALHU","ALLEN'S HUMMINGBIRD","SwiftHumm.csv"
4360,"CAHU","CALLIOPE HUMMINGBIRD","SwiftHumm.csv"
4370,"LUHU","LUCIFER HUMMINGBIRD","SwiftHumm.csv"
4390,"BUFH","BUFF-BELLIED HUMMINGBIRD","SwiftHumm.csv"
4391,"VCHU","VIOLET-CROWNED HUMMINGBIRD","SwiftHumm.csv"
4402,"PREM","PUERTO RICAN EMERALD","SwiftHumm.csv"
4410,"BBLH","BROAD-BILLED HUMMINGBIRD","SwiftHumm.csv"
4430,"STFL","SCISSOR-TAILED FLYCATCHER","NWFlycatc.csv"
4440,"EAKI","EASTERN KINGBIRD","NWFlycatc.csv"
4450,"GRAK","GRAY KINGBIRD","NWFlycatc.csv"
4451,"TBKI","THICK-BILLED KINGBIRD","NWFlycatc.csv"
4460,"TRKI","TROPICAL KINGBIRD","NWFlycatc.csv"
4461,"COKI","COUCH'S KINGBIRD","NWFlycatc.csv"
4470,"WEKI","WESTERN KINGBIRD","NWFlycatc.csv"
4480,"CAKI","CASSIN'S KINGBIRD","NWFlycatc.csv"
4490,"GKIS","GREAT KISKADEE","NWFlycatc.csv"
4510,"SBFL","SULPHUR-BELLIED FLYCATCHER","NWFlycatc.csv"
4520,"GCFL","GREAT-CRESTED FLYCATCHER","NWFlycatc.csv"
4530,"BCFL","BROWN-CRESTED FLYCATCHER","NWFlycatc.csv"
4540,"ATFL","ASH-THROATED FLYCATCHER","NWFlycatc.csv"
4550,"DCFL","DUSKY-CAPPED FLYCATCHER","NWFlycatc.csv"
4560,"EAPH","EASTERN PHOEBE","NWFlycatc.csv"
4570,"SAPH","SAY'S PHOEBE","NWFlycatc.csv"
4580,"BLPH","BLACK PHOEBE","NWFlycatc.csv"
4590,"OSFL","OLIVE-SIDED FLYCATCHER","NWFlycatc.csv"
4600,"GRPE","GREATER PEWEE","NWFlycatc.csv"
4610,"EAWP","EASTERN WOOD-PEWEE","NWFlycatc.csv"
4620,"WEWP","WESTERN WOOD-PEWEE","NWFlycatc.csv"
4630,"YBFL","YELLOW-BELLIED FLYCATCHER","NWFlycatc.csv"
4640,"COFL","CORDILLERAN FLYCATCHER","NWFlycatc.csv"
4641,"PSFL","PACIFIC SLOPE FLYCATCHER","NWFlycatc.csv"
4650,"ACFL","ACADIAN FLYCATCHER","NWFlycatc.csv"
4660,"WIFL","WILLOW FLYCATCHER","NWFlycatc.csv"
4661,"ALFL","ALDER FLYCATCHER","NWFlycatc.csv"
4670,"LEFL","LEAST FLYCATCHER","NWFlycatc.csv"
4679,"UNEM","UNIDENTIFIED EMPIDONAX","NWFlycatc.csv"
4680,"HAFL","HAMMOND'S FLYCATCHER","NWFlycatc.csv"
4690,"DUFL","DUSKY FLYCATCHER","NWFlycatc.csv"
4691,"GRFL","GRAY FLYCATCHER","NWFlycatc.csv"
4700,"BBFL","BUFF-BREASTED FLYCATCHER","NWFlycatc.csv"
4710,"VEFL","VERMILION FLYCATCHER","NWFlycatc.csv"
4720,"NBTY","NORTHERN BEARDLESS TYRANNULET","NWFlycatc.csv"
4730,"SKLA","SKY LARK","LarkWren.csv"
4740,"HOLA","HORNED LARK","LarkWren.csv"
4750,"BBMA","BLACK-BILLED MAGPIE","ShrikeCorv.csv"
4760,"YBMA","YELLOW-BILLED MAGPIE","ShrikeCorv.csv"
4770,"BLJA","BLUE JAY","ShrikeCorv.csv"
4780,"STJA","STELLER'S JAY","ShrikeCorv.csv"
4790,"FLSJ","FLORIDA SCRUB-JAY","ShrikeCorv.csv"
4810,"WESJ","WESTERN SCRUB JAY","ShrikeCorv.csv"
4811,"ISSJ","ISLAND SCRUB-JAY","ShrikeCorv.csv"
4820,"MEJA","MEXICAN JAY","ShrikeCorv.csv"
4830,"GREJ","GREEN JAY","ShrikeCorv.csv"
4840,"GRAJ","GRAY JAY","ShrikeCorv.csv"
4860,"CORA","COMMON RAVEN","ShrikeCorv.csv"
4870,"CHRA","CHIHUAHUAN RAVEN","ShrikeCorv.csv"
4880,"AMCR","AMERICAN CROW","ShrikeCorv.csv"
4890,"NOCR","NORTHWESTERN CROW","ShrikeCorv.csv"
4900,"FICR","FISH CROW","ShrikeCorv.csv"
4910,"CLNU","CLARK'S NUTCRACKER","ShrikeCorv.csv"
4920,"PIJA","PINYON JAY","ShrikeCorv.csv"
4930,"EUST","EUROPEAN STARLING","GnatLongs.csv"
4931,"CRMY","CRESTED MYNA","GnatLongs.csv"
4932,"COMY","COMMON MYNA","GnatLongs.csv"
4940,"BOBO","BOBOLINK","CardBlack.csv"
4950,"BHCO","BROWN-HEADED COWBIRD","CardBlack.csv"
